"","id","x","y","HBWID","focal","ncell","area","neighbours","nothing","biome_area_1","biome_area_2","biome_area_3","biome_area_4","biome_area_5","biome_area_6","biome_area_7","biome_area_8","biome_area_9","biome_area_10","biome_area_11","biome_area_12","biome_area_13","biome_area_14","LC_0","LC_1","LC_2","LC_3","LC_4","LC_5","LC_6","LC_7","LC_8","LC_9","LC_10","LC_11","LC_12","LC_13","LC_14","LC_15","LC_16","srTotal","srCarnivore","srOmnivore","srHerbivore","srNonthreatened","srThreatened","lt10kg","lt100kg","gt100kg","rs1","rs2","rs3","nocturnal","crepuscular","diurnal","crep_diurn","noct_crep_diurn","noct_crep","nothing","biome_1","biome_2","biome_3","biome_4","biome_5","biome_6","biome_7","biome_8","biome_9","biome_10","biome_11","biome_12","biome_13","biome_14","LC_sp_0","LC_sp_1","LC_sp_2","LC_sp_3","LC_sp_4","LC_sp_5","LC_sp_6","LC_sp_7","LC_sp_8","LC_sp_9","LC_sp_10","LC_sp_11","LC_sp_12","LC_sp_13","LC_sp_14","LC_sp_15","LC_sp_16","h_mean","h_pc0","fer_mean","fer_pc","irr_area_p","rice_ha","cereal_ha","wheat_ha","maize_ha","oil_p_ha","soy_ha","h_mean_cut","fer_mean_cut","fer_pc_cut","irr_area_p_cut","rice_ha_cut","cereal_ha_cut","wheat_ha_cut","maize_ha_cut","oil_p_ha_cut","soy_ha_cut"
"1",1,67.5,68.25572,1328,7,31,362597.05192,"NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,969,970,971,1325,1326,1327,1328,1329,1330,1331,1685,1686,1687,1688,1689,1690,1691,2045,2046,2047,2048,2049,2050,2051,2405,2406,2407,2408,2409,2410,2411",0,257723.9807,104873.07122,0,0,0,0,0,0,0,0,0,0,0,0,0,37092.9,0,0,0,0,0,189496.85192,0,0,12364.3,123643,0,0,0,0,0,51,23,12,16,50,1,43,5,3,0,0,51,16,0,5,2,23,4,0,31,50,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,38,0,0,36,46,0,0,0,0,0,0.0389354762741935,54.2998503225806,0.00255692796774194,11.1954483870968,0,1e-04,8.23656870967742e-05,4.33333538709677e-05,2.15053548387097e-07,0,0,"Low","Low","Low",NA,"Low","Low","Low","Low",NA,NA
"2",2,-3.5,55.48388,3417,3,7,70411.73313,"3056,3057,3058,3416,3417,3418,NA,NA,3778",0,0,0,48561.45523,21850.2779,0,0,0,0,0,0,0,0,0,0,6667.54538,0,0,0,0,21850.2779,0,0,0,0,41893.90985,0,0,0,0,0,0,36,22,9,5,36,0,33,2,1,0,0,36,18,0,2,0,10,5,0,0,0,28,36,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,28,0,0,0,0,36,0,0,0,0,0,0,0.478784857142857,99.6033285714286,39.0769328571429,90.4761857142857,0.0586985471428571,1e-04,0.0627613357142857,0.018425106,0,0,0,"High","High","High","Low","Low","Medium","Medium",NA,NA,NA
"3",3,79.5,11.27734,16460,7,25,290236.48715,"15377,15378,15379,15380,NA,NA,NA,15737,15738,15739,15740,NA,NA,NA,16097,16098,16099,16100,NA,NA,NA,16457,16458,16459,16460,NA,NA,NA,16817,16818,16819,16820,NA,NA,NA,NA,17178,17179,NA,17181,NA,NA,NA,17538,NA,NA,17541,NA,NA",0,0,0,0,0,0,0,134030.94392,0,0,0,0,125804.33762,30401.20561,0,17338.03288,0,16279.82267,0,0,0,0,0,12357.53827,0,0,0,108546.4795,0,135714.61383,0,0,135,63,43,29,100,34,112,18,5,26,17,92,86,1,17,6,11,14,0,0,0,0,0,0,0,92,0,0,0,0,116,129,0,86,0,105,0,0,0,0,0,107,0,0,0,106,0,125,0,0,0.73739576,99.914528,11.803194,100,15.1812728,0.111118824,0.182524096,9.36112704e-05,0.01103869208,0,1.53846e-06,"High","Medium","High","High","Medium","High","Low","Low",NA,"Low"
"4",4,-58.5,-12.90513,24962,5,25,309107.5,"24240,24241,24242,24243,24244,24600,24601,24602,24603,24604,24960,24961,24962,24963,24964,25320,25321,25322,25323,25324,25680,25681,25682,25683,25684",0,0,0,0,0,0,0,0,0,0,0,61821.5,136007.3,111278.7,0,0,0,210193.1,0,0,0,0,0,0,86550.1,0,0,12364.3,0,0,0,0,208,76,81,50,183,10,190,14,1,2,10,193,139,1,25,4,20,16,0,0,0,0,0,0,0,0,0,0,0,183,175,193,0,0,0,202,0,0,0,0,0,0,185,0,0,144,0,0,0,0,0.125594524,88.243588,1.191969912,93.25,0.04275619068,0.00275051312,0.01194498112,1.833332e-05,0.00814745852,0,0.03216934908,"Low","Low","High","Low","Low","Low","Low","Low",NA,"Medium"
"5",5,-3.5,6.21665,18177,5,20,234718.84821,"17455,17456,17457,17458,17459,17815,17816,17817,17818,17819,18175,18176,18177,18178,18179,18535,18536,18537,18538,18539,NA,NA,NA,NA,NA",0,0,0,0,0,0,0,0,0,0,0,86550.1,148168.74821,0,0,16877.2695,0,22243.66549,0,0,0,0,0,49457.2,24728.6,0,0,0,0,121412.11322,0,0,228,106,66,55,196,13,191,27,10,6,44,178,166,0,22,11,17,12,0,0,0,0,0,0,0,0,0,0,0,204,212,0,0,146,0,144,0,0,0,0,0,187,171,0,0,0,0,211,0,0,0.35243405,99.80421,0.7541875,100,0.15498875,0.009349657,0.0363395785,0,0.024494788,0.0052534733,0,"Medium","Low","High","Low","Low","Low",NA,"Medium","Medium",NA
"6",6,128.5,-27.88493,30189,11,103,1259989.01451,"28384,28385,28386,28387,28388,28389,28390,28391,28392,28393,28394,28744,28745,28746,28747,28748,28749,28750,28751,28752,28753,28754,29104,29105,29106,29107,29108,29109,29110,29111,29112,29113,29114,29464,29465,29466,29467,29468,29469,29470,29471,29472,29473,29474,29824,29825,29826,29827,29828,29829,29830,29831,29832,29833,29834,30184,30185,30186,30187,30188,30189,30190,30191,30192,30193,30194,30544,30545,30546,30547,30548,30549,30550,30551,30552,30553,30554,30904,30905,30906,30907,30908,30909,30910,30911,30912,30913,30914,31264,31265,31266,31267,31268,31269,31270,31271,31272,31273,31274,31624,31625,31626,NA,NA,NA,NA,NA,NA,NA,NA,31984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA",0,0,0,0,0,0,0,1225259.24135,0,34729.77316,0,0,0,0,0,8829.36596,0,0,0,0,0,0,1241158.47539,10001.17316,0,0,0,0,0,0,0,0,56,33,11,12,48,5,52,4,0,2,16,38,48,0,0,0,3,5,0,0,0,0,0,0,0,54,0,29,0,0,0,0,0,13,0,0,0,0,0,0,54,17,0,0,0,0,0,0,0,0,0.0223620826893204,39.2004968932039,0.039943513223301,22.5239514563107,2.38305825242718e-05,1e-04,0.000547445761165049,0.000286581359223301,0,0,0,"Low","Low","Low","Low","Low","Low","Low",NA,NA,NA
"7",7,-66.5,5.2116,18474,1,1,12364.3,"18474",0,0,0,0,0,0,0,0,0,0,0,0,12364.3,0,0,0,0,12364.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,82,70,50,180,9,189,12,1,0,11,191,154,1,14,4,16,13,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388549,68.0556,0,0,0,1e-04,0,0,0,0,0,"Low",NA,NA,NA,"Low",NA,NA,NA,NA,NA
"8",8,135.5,-13.93326,25516,5,15,170709.92966,"24794,NA,NA,NA,NA,25154,25155,25156,25157,NA,25514,25515,25516,NA,NA,25874,25875,25876,NA,NA,26234,26235,26236,26237,NA",0,0,0,0,0,0,0,0,0,0,0,170709.92966,0,0,0,16820.2778,0,0,0,0,0,0,24728.6,36814.70325,92346.34861,0,0,0,0,0,0,0,66,34,15,17,60,5,61,5,0,7,20,39,55,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,49,0,0,0,0,0,0,46,54,64,0,0,0,0,0,0,0,0.0287072486666667,62.1900086666667,0,0,0.001705714,1e-04,0,0,0,0,0,"Low",NA,NA,"Low","Low",NA,NA,NA,NA,NA
"9",9,36.5,-8.83105,23617,3,9,111278.7,"23256,23257,23258,23616,23617,23618,23976,23977,23978",0,0,0,0,0,0,0,0,0,0,0,98914.4,12364.3,0,0,0,0,0,0,0,0,0,0,61821.5,49457.2,0,0,0,0,0,0,0,206,91,54,60,184,16,162,29,14,13,20,172,129,1,26,10,22,17,0,0,0,0,0,0,0,0,0,0,0,206,166,0,0,0,0,0,0,0,0,0,0,192,199,0,0,0,0,0,0,0,0.110436822222222,99.8516222222222,0.168434166666667,100,0.131294444444444,0.00271040932222222,0.0182408544444444,0.000560422777777778,0.0110914666666667,0,0,"Low","Low","High","Low","Low","Low","Low","Low",NA,NA
"10",10,-73.5,2.20485,19547,11,111,1367154.45966,"NA,17743,17744,17745,17746,17747,17748,17749,17750,17751,17752,NA,NA,18104,18105,18106,18107,18108,18109,18110,18111,18112,NA,NA,18464,18465,18466,18467,18468,18469,18470,18471,18472,NA,NA,18824,18825,18826,18827,18828,18829,18830,18831,18832,NA,NA,19184,19185,19186,19187,19188,19189,19190,19191,19192,NA,19543,19544,19545,19546,19547,19548,19549,19550,19551,19552,19902,19903,19904,19905,19906,19907,19908,19909,19910,19911,19912,20262,20263,20264,20265,20266,20267,20268,20269,20270,20271,20272,20622,20623,20624,20625,20626,20627,20628,20629,20630,20631,20632,20982,20983,20984,20985,20986,20987,20988,20989,20990,20991,20992,21342,21343,21344,21345,21346,21347,21348,21349,21350,21351,21352",0,0,0,0,0,0,12364.3,0,0,0,0,49457.2,185464.5,1119868.45966,0,0,0,1082775.55966,0,0,0,0,0,0,111278.7,136007.3,0,0,0,37092.9,0,0,470,136,194,138,365,48,447,17,4,73,109,286,323,1,64,5,50,25,0,0,0,0,0,0,211,0,0,0,0,265,463,280,0,0,0,463,0,0,0,0,0,0,292,314,0,0,0,258,0,0,0.106451183783784,85.3525,1.6167672672973,73.5735738738739,0.644067567567568,0.00310041221783784,0.00779867129837838,0.000190502992072072,0.00396777996234234,0.00107876617423423,0.000175300218378378,"Low","Low","Medium","Low","Low","Low","Low","Low","Low","Low"
